level,embedding_dim_name,missing_percent,non_null_count,row_count,variance,usability,note
file,ssl_emb_084,0.0,184,184,0.00030680887889604106,usable,
file,ssl_emb_085,0.0,184,184,0.0004702331056030631,usable,
file,ssl_emb_086,0.0,184,184,0.00048030147190231305,usable,
file,ssl_emb_087,0.0,184,184,7.722585359423412e-05,usable,
file,ssl_emb_088,0.0,184,184,0.025126678816372303,usable,
file,ssl_emb_089,0.0,184,184,0.0003757934787642749,usable,
file,ssl_emb_090,0.0,184,184,0.0001494160009442289,usable,
file,ssl_emb_091,0.0,184,184,0.00044897380121020406,usable,
file,ssl_emb_092,0.0,184,184,0.0005856583522756214,usable,
file,ssl_emb_093,0.0,184,184,0.0005018223230528094,usable,
file,ssl_emb_094,0.0,184,184,0.0001692903810686924,usable,
file,ssl_emb_095,0.0,184,184,0.005552629794824993,usable,
file,ssl_emb_096,0.0,184,184,0.00048763366521640053,usable,
file,ssl_emb_097,0.0,184,184,0.00044683467672828583,usable,
file,ssl_emb_098,0.0,184,184,0.012533739172814678,usable,
file,ssl_emb_099,0.0,184,184,0.0007558008568279048,usable,
file,ssl_emb_100,0.0,184,184,0.0006502332360404376,usable,
file,ssl_emb_101,0.0,184,184,0.0013747467075791923,usable,
file,ssl_emb_102,0.0,184,184,0.006872584071097133,usable,
file,ssl_emb_103,0.0,184,184,0.041128366312016176,usable,
file,ssl_emb_104,0.0,184,184,0.004605304597177025,usable,
file,ssl_emb_105,0.0,184,184,0.0003200832985110319,usable,
file,ssl_emb_106,0.0,184,184,0.000743028338109047,usable,
file,ssl_emb_107,0.0,184,184,0.0009436566782912483,usable,
file,ssl_emb_108,0.0,184,184,0.0010660745744065622,usable,
file,ssl_emb_109,0.0,184,184,0.0004984079470885159,usable,
file,ssl_emb_110,0.0,184,184,0.00042800419701993547,usable,
file,ssl_emb_111,0.0,184,184,0.00013673897712993409,usable,
file,ssl_emb_112,0.0,184,184,0.00012654180379034492,usable,
file,ssl_emb_113,0.0,184,184,0.00043425410367908904,usable,
file,ssl_emb_114,0.0,184,184,0.032967139834584214,usable,
file,ssl_emb_115,0.0,184,184,0.0001758895296268955,usable,
file,ssl_emb_116,0.0,184,184,0.00028977040124833714,usable,
file,ssl_emb_117,0.0,184,184,0.00011555570877254562,usable,
file,ssl_emb_118,0.0,184,184,0.00017130248926529418,usable,
file,ssl_emb_119,0.0,184,184,0.0004925834430469194,usable,
file,ssl_emb_120,0.0,184,184,0.00028317854832446345,usable,
file,ssl_emb_121,0.0,184,184,0.0002673828013697016,usable,
file,ssl_emb_122,0.0,184,184,0.00029618980488120935,usable,
file,ssl_emb_123,0.0,184,184,0.000396994673167708,usable,
file,ssl_emb_124,0.0,184,184,0.0005483210764017745,usable,
file,ssl_emb_125,0.0,184,184,0.0010433863653362854,usable,
file,ssl_emb_126,0.0,184,184,0.0005819730281277939,usable,
file,ssl_emb_127,0.0,184,184,0.0002797755768733164,usable,
file,ssl_emb_128,0.0,184,184,0.009371784417266379,usable,
file,ssl_emb_129,0.0,184,184,0.0004683100401303269,usable,
file,ssl_emb_130,0.0,184,184,0.0016318797416843037,usable,
file,ssl_emb_131,0.0,184,184,0.0010698707891519115,usable,
file,ssl_emb_132,0.0,184,184,0.0003222250291459261,usable,
file,ssl_emb_133,0.0,184,184,0.00018450944655313143,usable,
file,ssl_emb_134,0.0,184,184,0.008188808118572966,usable,
file,ssl_emb_135,0.0,184,184,0.002179620935239546,usable,
file,ssl_emb_136,0.0,184,184,9.329840359099614e-05,usable,
file,ssl_emb_137,0.0,184,184,0.0007017735212984,usable,
file,ssl_emb_138,0.0,184,184,0.0005535392189727932,usable,
file,ssl_emb_139,0.0,184,184,0.00030656388067079707,usable,
file,ssl_emb_140,0.0,184,184,0.0005777948630045665,usable,
file,ssl_emb_141,0.0,184,184,0.0008187789954354855,usable,
file,ssl_emb_142,0.0,184,184,0.0001637202615349167,usable,
file,ssl_emb_143,0.0,184,184,0.0005665613070844546,usable,
file,ssl_emb_144,0.0,184,184,0.000679734023576215,usable,
file,ssl_emb_145,0.0,184,184,0.0008596730642242985,usable,
file,ssl_emb_146,0.0,184,184,0.00023694771126225097,usable,
file,ssl_emb_147,0.0,184,184,0.00027699844936574723,usable,
file,ssl_emb_148,0.0,184,184,0.0017961612960884416,usable,
file,ssl_emb_149,0.0,184,184,0.00015324689253155255,usable,
file,ssl_emb_150,0.0,184,184,0.00045421395997649074,usable,
file,ssl_emb_151,0.0,184,184,0.0026548695209825447,usable,
file,ssl_emb_152,0.0,184,184,0.00016232599968789396,usable,
file,ssl_emb_153,0.0,184,184,0.00022878634646952926,usable,
file,ssl_emb_154,0.0,184,184,0.00021751325761705127,usable,
file,ssl_emb_155,0.0,184,184,0.0010552582853093333,usable,
file,ssl_emb_156,0.0,184,184,0.00227095534321584,usable,
file,ssl_emb_157,0.0,184,184,0.0002850507217453795,usable,
