level,group_dimension,group_value,embedding_dim_name,count,row_count,missing_percent,mean,std,min,median,max
file,known_origin_label,ai_synthetic,ssl_emb_199,69,69,0.0,0.3570980293595273,0.10281595083412863,0.1001212298870086,0.3668611347675323,0.5639238357543945
file,known_origin_label,ai_synthetic,ssl_emb_200,69,69,0.0,-0.01901669659918808,0.015402867946772786,-0.0531083159148693,-0.0158414989709854,0.0173606500029563
file,known_origin_label,ai_synthetic,ssl_emb_201,69,69,0.0,-0.008326662483328171,0.041766918600699116,-0.0930278301239013,-0.0067037073895335,0.082545131444931
file,known_origin_label,ai_synthetic,ssl_emb_202,69,69,0.0,-0.053024359078625634,0.029566254674675,-0.1174238845705986,-0.048022087663412,0.0065301274880766
file,known_origin_label,ai_synthetic,ssl_emb_203,69,69,0.0,-0.033727137564236016,0.015570869557002891,-0.0660881102085113,-0.0370864123106002,0.0069767800159752
file,known_origin_label,ai_synthetic,ssl_emb_204,69,69,0.0,-0.26205607104128686,0.026860211057386035,-0.3278118669986725,-0.2655562162399292,-0.2127005904912948
file,known_origin_label,ai_synthetic,ssl_emb_205,69,69,0.0,0.0018123975428550067,0.02023192254769507,-0.0404833108186721,0.0032017910853028,0.0353382267057895
file,known_origin_label,ai_synthetic,ssl_emb_206,69,69,0.0,-0.11775729008207932,0.0430244100176024,-0.1970169991254806,-0.1166720986366272,-0.0052003185264766
file,known_origin_label,ai_synthetic,ssl_emb_207,69,69,0.0,0.008669835069905141,0.021174314807958772,-0.0399954617023468,0.018125994130969,0.0396910198032856
file,known_origin_label,ai_synthetic,ssl_emb_208,69,69,0.0,-0.32004945887171704,0.08108063730530662,-0.5648452043533325,-0.2898160219192505,-0.1713898330926895
file,known_origin_label,ai_synthetic,ssl_emb_209,69,69,0.0,-0.011607677745274285,0.038523288721674584,-0.0736280605196952,-0.0104340622201561,0.0519840568304061
file,known_origin_label,ai_synthetic,ssl_emb_210,69,69,0.0,-0.011082944217259449,0.020208315900901747,-0.0527116023004055,-0.0122617166489362,0.0340721756219863
file,known_origin_label,ai_synthetic,ssl_emb_211,69,69,0.0,0.24733117719491324,0.0969764614368737,0.0788536593317985,0.2299046218395233,0.5665678977966309
file,known_origin_label,ai_synthetic,ssl_emb_212,69,69,0.0,0.04651047493857532,0.04558026673919365,-0.0691669434309005,0.0402559489011764,0.144694522023201
file,known_origin_label,ai_synthetic,ssl_emb_213,69,69,0.0,0.012385496893725527,0.01456461635818781,-0.0140745006501674,0.0099886721000075,0.0446690768003463
file,known_origin_label,ai_synthetic,ssl_emb_214,69,69,0.0,-0.012676486923895827,0.012714184779796085,-0.0378918573260307,-0.014470774680376,0.0212531723082065
file,known_origin_label,ai_synthetic,ssl_emb_215,69,69,0.0,-0.012511425293084428,0.014536490194134824,-0.0464374162256717,-0.0137962270528078,0.014544803649187
file,known_origin_label,ai_synthetic,ssl_emb_216,69,69,0.0,-0.0005916316539683364,0.017037978071881114,-0.032136682420969,-0.0048739267513155,0.0449013002216815
file,known_origin_label,ai_synthetic,ssl_emb_217,69,69,0.0,-0.09444379130297377,0.09308549286352166,-0.2651263773441314,-0.1021191254258155,0.153435468673706
file,known_origin_label,ai_synthetic,ssl_emb_218,69,69,0.0,0.01849616171481705,0.017824137295320154,-0.0166545156389474,0.0161700099706649,0.0655248686671257
file,known_origin_label,ai_synthetic,ssl_emb_219,69,69,0.0,0.02395795844790549,0.018003177926761236,-0.0125699015334248,0.0215772129595279,0.060768935829401
file,known_origin_label,ai_synthetic,ssl_emb_220,69,69,0.0,0.004716735444558045,0.01638546545952185,-0.0339375659823417,0.0064302189275622,0.0412137322127819
file,known_origin_label,ai_synthetic,ssl_emb_221,69,69,0.0,0.0056996475102188285,0.015403573940762444,-0.0323251076042652,0.0049634464085102,0.0296078454703092
file,known_origin_label,ai_synthetic,ssl_emb_222,69,69,0.0,0.014848555948591998,0.022477502613095026,-0.0319522097706794,0.0142753263935446,0.0828599110245704
file,known_origin_label,ai_synthetic,ssl_emb_223,69,69,0.0,0.10855587282402783,0.0961174238682004,-0.1286768466234207,0.1165481954813003,0.3241951763629913
file,known_origin_label,ai_synthetic,ssl_emb_224,69,69,0.0,-0.026144031684953627,0.012048149753468275,-0.068601094186306,-0.0244200471788644,-0.0045669074170291
file,known_origin_label,ai_synthetic,ssl_emb_225,69,69,0.0,-0.0006828638088072887,0.017430113926869998,-0.0391756743192672,-0.0006693081813864,0.0298930089920759
file,known_origin_label,ai_synthetic,ssl_emb_226,69,69,0.0,0.036264410577343226,0.020898419689798553,-0.023097300902009,0.0380209535360336,0.0893353670835495
