level,comparison_name,level_a,level_b,embedding_dim_name,group_a_count,group_b_count,group_a_mean,group_b_mean,group_a_median,group_b_median,abs_mean_difference,effect_size,missing_percent,direction,interpretation_note
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_019,1024,936,-0.03434384614719828,-0.011926239368494794,-0.0335307046771049,-0.01021425193175665,0.022417606778703483,1.0575679352485863,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_020,1024,936,-0.010796105062018651,-0.016993340868482927,-0.0121215702965855,-0.01826382242143145,0.006197235806464276,0.27092521539075887,0.0,higher_in_group_a,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_021,1024,936,-0.0033911773897212704,0.02213509950810857,-0.0032101857941596998,0.02162680774927135,0.025526276897829842,1.233995661276954,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_022,1024,936,0.034444045824343975,0.003248314084429626,0.03244515694677825,0.00473905960097905,0.03119573173991435,1.1750133608279838,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_023,1024,936,0.058846433369467335,0.05887926987777301,0.059280406683683354,0.0598599258810281,3.283650830567669e-05,0.0017397546346733898,0.0,higher_in_group_b,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_024,1024,936,-0.014854216222801114,-0.010201459070876245,-0.014917109161615351,-0.011526096612215,0.004652757151924869,0.22913322204731557,0.0,higher_in_group_b,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_025,1024,936,-0.009056989549868869,-0.010089601967250849,-0.008262320421636049,-0.009286737069487551,0.0010326124173819801,0.054441459103826764,0.0,higher_in_group_a,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_026,1024,936,0.06807445231811468,0.04218087621086295,0.0675878301262855,0.0426298193633556,0.02589357610725173,1.1236184482936888,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_027,1024,936,0.0014428531407624228,-0.012006717427158189,0.00031833833781995,-0.01188336731865995,0.013449570567920613,0.739682198648096,0.0,higher_in_group_a,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_028,1024,936,-0.4120614581333939,-0.34228159283222154,-0.4186684489250183,-0.35631342232227325,0.06977986530117236,0.6941785805354519,0.0,higher_in_group_b,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_029,1024,936,-0.025922960392406897,-0.011571954962840723,-0.02479002531617875,-0.01081913150846955,0.014351005429566174,0.7638272023087979,0.0,higher_in_group_b,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
