level,group_dimension,group_value,embedding_dim_name,count,row_count,missing_percent,mean,std,min,median,max
segment,all,all,ssl_emb_000,4189,4189,0.0,-0.02595170979634532,0.02929193344745468,-0.1367615610361099,-0.0267695970833301,0.1318892389535904
segment,all,all,ssl_emb_001,4189,4189,0.0,0.015177407154224712,0.016716121026807407,-0.0508682318031787,0.0152102392166852,0.1108604371547699
segment,all,all,ssl_emb_002,4189,4189,0.0,-0.02959090831406538,0.01970858552506819,-0.1478454023599624,-0.0286098551005125,0.0360551811754703
segment,all,all,ssl_emb_003,4189,4189,0.0,-0.0019891272150175674,0.021775869200263098,-0.0858719870448112,-0.0012007958721369,0.1100463643670082
segment,all,all,ssl_emb_004,4189,4189,0.0,0.006841687272195508,0.02015080443030328,-0.1507623046636581,0.0084820510819554,0.0874867737293243
segment,all,all,ssl_emb_005,4189,4189,0.0,0.023975250696209736,0.018760764920970917,-0.0503547228872776,0.0245938375592231,0.0863511338829994
segment,all,all,ssl_emb_006,4189,4189,0.0,-0.04646635767776256,0.02823283719019797,-0.2236138135194778,-0.0462414771318435,0.200636014342308
segment,all,all,ssl_emb_007,4189,4189,0.0,-0.008232817260195107,0.02315480538093281,-0.1959699541330337,-0.0067673856392502,0.0644802898168563
segment,all,all,ssl_emb_008,4189,4189,0.0,-0.004543407301496975,0.027134596411697423,-0.199098601937294,-0.0036111234221607,0.1148307621479034
segment,all,all,ssl_emb_009,4189,4189,0.0,0.01611043579421452,0.024243784927248074,-0.113461747765541,0.0164120141416788,0.2453083992004394
segment,all,all,ssl_emb_010,4189,4189,0.0,0.011087212881253207,0.027460812208057173,-0.1604155898094177,0.0127900373190641,0.0936828702688217
segment,all,all,ssl_emb_011,4189,4189,0.0,-0.023607933749418056,0.020641335420310835,-0.1941196024417877,-0.0225916728377342,0.0753019824624061
segment,all,all,ssl_emb_012,4189,4189,0.0,-0.011349235805224206,0.024710634005945233,-0.1337154060602188,-0.0092566488310694,0.1432364583015442
segment,all,all,ssl_emb_013,4189,4189,0.0,-0.02056043288016049,0.035868283794056904,-0.1606639623641967,-0.0154588548466563,0.2866389453411102
segment,all,all,ssl_emb_014,4189,4189,0.0,-0.0619537321719384,0.030267235651025935,-0.196077287197113,-0.0628818869590759,0.0346337296068668
segment,all,all,ssl_emb_015,4189,4189,0.0,0.027714429719295726,0.027926713621244884,-0.2436452805995941,0.029635414481163,0.1161784753203392
segment,all,all,ssl_emb_016,4189,4189,0.0,-0.024751440265840818,0.022178859920677186,-0.2198548763990402,-0.0246515199542045,0.0748605951666832
segment,all,all,ssl_emb_017,4189,4189,0.0,0.013706933917217543,0.02173872228235894,-0.0884928256273269,0.0148257007822394,0.1098464354872703
segment,all,all,ssl_emb_018,4189,4189,0.0,-0.03813071617000302,0.019175184515772443,-0.169080376625061,-0.0376728624105453,0.0256328862160444
segment,all,all,ssl_emb_019,4189,4189,0.0,-0.024737481690048503,0.023744469375324345,-0.1170048117637634,-0.0237532351166009,0.0774816796183586
segment,all,all,ssl_emb_020,4189,4189,0.0,-0.01456450002005907,0.023812602565314974,-0.1231623291969299,-0.0155608477070927,0.096188023686409
segment,all,all,ssl_emb_021,4189,4189,0.0,0.0034278855804515426,0.022270965797473907,-0.0807755142450332,0.0021206636447459,0.1451190561056137
segment,all,all,ssl_emb_022,4189,4189,0.0,0.02141745526977095,0.029420502672101917,-0.1407300978899002,0.0218856073915958,0.1473934650421142
segment,all,all,ssl_emb_023,4189,4189,0.0,0.057962640640141484,0.01926659389669066,-0.065879076719284,0.0588170178234577,0.1252587437629699
segment,all,all,ssl_emb_024,4189,4189,0.0,-0.0129022652481016,0.01952629275280497,-0.0918972343206405,-0.0137618435546755,0.1146418303251266
segment,all,all,ssl_emb_025,4189,4189,0.0,-0.0110501215538657,0.01905860112290525,-0.0838310942053794,-0.0101952133700251,0.0811628699302673
segment,all,all,ssl_emb_026,4189,4189,0.0,0.060309853463475165,0.025633268449102607,-0.1072718426585197,0.0598914325237274,0.1420665979385376
segment,all,all,ssl_emb_027,4189,4189,0.0,-0.003999977768659935,0.019047746024653953,-0.1042383164167404,-0.0043407343327999,0.0750558674335479
segment,all,all,ssl_emb_028,4189,4189,0.0,-0.38714865440819357,0.09877155418379253,-0.6573705673217773,-0.3963742554187774,0.3631593286991119
segment,all,all,ssl_emb_029,4189,4189,0.0,-0.02105687036857334,0.01988338786040924,-0.1332505643367767,-0.0205238349735736,0.0557546690106391
segment,all,all,ssl_emb_030,4189,4189,0.0,-0.045234932974825906,0.020103423398465974,-0.2432975620031356,-0.0452764891088008,0.0832317769527435
segment,all,all,ssl_emb_031,4189,4189,0.0,0.00824987771697208,0.018846363983510476,-0.0546836853027343,0.0075017074123024,0.1248827427625656
segment,all,all,ssl_emb_032,4189,4189,0.0,-0.01878077020431201,0.026193318213123862,-0.1411653161048889,-0.0164089202880859,0.0562783367931842
segment,all,all,ssl_emb_033,4189,4189,0.0,-0.0043842267573315575,0.028363951661683182,-0.2108873128890991,-0.0024885658640414,0.0753509849309921
segment,all,all,ssl_emb_034,4189,4189,0.0,-0.0011786320664658853,0.019057314467188318,-0.0579472444951534,-0.0016478722682222,0.0677902549505233
segment,all,all,ssl_emb_035,4189,4189,0.0,0.012376424250172708,0.019674171869848968,-0.1524699628353119,0.0133547792211174,0.0690898150205612
segment,all,all,ssl_emb_036,4189,4189,0.0,0.031114730124294842,0.030401361554334955,-0.0887260809540748,0.0305537078529596,0.1545913517475128
segment,all,all,ssl_emb_037,4189,4189,0.0,-0.015250317267141503,0.018044713034493145,-0.1366232484579086,-0.0152670685201883,0.0583714917302131
segment,all,all,ssl_emb_038,4189,4189,0.0,-0.01733019691013606,0.028502272689603172,-0.1010129302740097,-0.0184313766658306,0.1892329007387161
segment,all,all,ssl_emb_039,4189,4189,0.0,0.0015532565373012255,0.020919552101920813,-0.0689418464899063,0.0008317205356433,0.1582181453704834
