task_name,feature_set,fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,brier_score,split_method,used_folds,model_type
partial_fabrication_segment_model,localization,1,0.8455284552845529,0.839516732599166,0.5652173913043478,0.8297872340425532,0.6724137931034483,0.9295413236394741,0.7705736273411428,0.10535530447112688,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,localization,2,0.8566037735849057,0.8799923195084485,0.5641025641025641,0.9166666666666666,0.6984126984126984,0.9395161290322581,0.8244872312620554,0.10194005860135538,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,localization,3,0.8498168498168498,0.8698993110757817,0.5609756097560976,0.9019607843137255,0.6917293233082706,0.9521285991874227,0.86052402887658,0.09833513899094538,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,localization,4,0.8468468468468469,0.8416666666666667,0.5645161290322581,0.8333333333333334,0.6730769230769231,0.9284391534391535,0.8062008179591279,0.10488276383936315,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,localization,5,0.8507462686567164,0.9090909090909092,0.5454545454545454,1.0,0.7058823529411765,0.9409090909090909,0.7277974235715036,0.1152159393935943,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,acoustic,1,0.5691056910569106,0.46551908478563025,0.16091954022988506,0.2978723404255319,0.208955223880597,0.4673366834170854,0.18314545958724182,0.2421754680856947,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,acoustic,2,0.5132075471698113,0.5486271121351767,0.20863309352517986,0.6041666666666666,0.31016042780748665,0.5411866359447004,0.1868417998652467,0.2606542179127875,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,acoustic,3,0.43956043956043955,0.39109697933227344,0.11940298507462686,0.3137254901960784,0.17297297297297298,0.3597420950362127,0.14534517171084085,0.2788325974775415,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,acoustic,4,0.4144144144144144,0.5111111111111111,0.19444444444444445,0.6666666666666666,0.3010752688172043,0.5403439153439153,0.21449839090518047,0.27475301845453964,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,acoustic,5,0.4626865671641791,0.4446969696969697,0.14705882352941177,0.4166666666666667,0.21739130434782608,0.47053872053872053,0.17576458153217564,0.2555036660753847,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,ssl,1,0.6463414634146342,0.5701379236608575,0.25609756097560976,0.44680851063829785,0.32558139534883723,0.6125307388003849,0.38593261373092436,0.23246973079730035,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,ssl,2,0.6981132075471698,0.6047427035330261,0.2894736842105263,0.4583333333333333,0.3548387096774194,0.6537058371735791,0.31654913156973136,0.20451627220315458,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,ssl,3,0.608058608058608,0.5626656067832538,0.2358490566037736,0.49019607843137253,0.3184713375796178,0.5771948419007243,0.3917680214584929,0.2600867528980401,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,ssl,4,0.4864864864864865,0.519047619047619,0.2,0.5714285714285714,0.2962962962962963,0.5842592592592593,0.34387697932882977,0.33743260812647374,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,ssl,5,0.6268656716417911,0.6098484848484849,0.25925925925925924,0.5833333333333334,0.358974358974359,0.6294612794612795,0.36740522064197284,0.2589073713809745,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,combined,1,0.9105691056910569,0.8878434726825617,0.7272727272727273,0.851063829787234,0.7843137254901961,0.9663209665348017,0.8983242678500125,0.06624383900722287,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,combined,2,0.8905660377358491,0.8601670506912442,0.6610169491525424,0.8125,0.7289719626168224,0.9366359447004609,0.7426721082384817,0.07961753151469092,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,combined,3,0.9047619047619048,0.8810280869104399,0.7049180327868853,0.8431372549019608,0.7678571428571429,0.9638756403462286,0.8807640339459675,0.06834816438612719,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,combined,4,0.9054054054054054,0.8777777777777778,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.955026455026455,0.8005261063934018,0.07033843123573359,StratifiedGroupKFold,5,logistic_regression_l2
partial_fabrication_segment_model,combined,5,0.8905472636815921,0.9007575757575758,0.6346153846153846,0.9166666666666666,0.75,0.9577441077441077,0.7594237225964131,0.0811970900362798,StratifiedGroupKFold,5,logistic_regression_l2
