scope,file_id,file_category,is_partial_file,segment_threshold,high_segment_fraction,top5_inside_hit,localized_oracle,broad_activation
train,phase7c1_collection_manifest_000139_ai_018_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000055_human_007_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000099_ai_013_replay_laptop_mobile,ai_replay,False,0.95,0.06666666666666667,False,False,False
train,phase7c1_collection_manifest_000143_human_018_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000135_human_017_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000183_human_023_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000007_human_001_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000151_human_019_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000059_ai_008_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000155_ai_020_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000027_ai_004_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000075_ai_010_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000031_human_004_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000127_human_016_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000003_ai_001_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000063_human_008_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000051_ai_007_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000179_ai_023_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000159_human_020_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000087_human_011_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000147_ai_019_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000083_ai_011_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000103_human_013_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000123_ai_016_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000079_human_010_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000178_ai_023_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000130_ai_017_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000006_human_001_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000154_ai_020_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000146_ai_019_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000122_ai_016_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000054_human_007_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000086_human_011_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000102_human_013_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000134_human_017_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000182_human_023_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000098_ai_013_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000138_ai_018_mixer_processed,ai_mixer,False,0.95,0.03333333333333333,False,False,False
train,phase7c1_collection_manifest_000150_human_019_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000062_human_008_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000050_ai_007_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000058_ai_008_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000002_ai_001_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000078_human_010_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000126_human_016_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000074_ai_010_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000142_human_018_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000026_ai_004_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000158_human_020_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000030_human_004_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
train,phase7c1_collection_manifest_000082_ai_011_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000017_ai_003_fabricated,ai_fabricated,True,0.95,0.1111111111111111,True,True,False
dev,phase7c1_collection_manifest_000021_human_003_fabricated,human_fabricated,True,0.95,0.08695652173913043,True,True,False
dev,phase7c1_collection_manifest_000041_ai_006_fabricated,ai_fabricated,True,0.95,0.06666666666666667,True,True,False
dev,phase7c1_collection_manifest_000045_human_006_fabricated,human_fabricated,True,0.95,0.18181818181818182,True,True,False
dev,phase7c1_collection_manifest_000089_ai_012_fabricated,ai_fabricated,True,0.95,0.16,True,True,False
dev,phase7c1_collection_manifest_000093_human_012_fabricated,human_fabricated,True,0.95,0.12,True,True,False
dev,phase7c1_collection_manifest_000113_ai_015_fabricated,ai_fabricated,True,0.95,0.0625,True,True,False
dev,phase7c1_collection_manifest_000117_human_015_fabricated,human_fabricated,True,0.95,0.20833333333333334,True,True,False
dev,phase7c1_collection_manifest_000169_ai_022_fabricated,ai_fabricated,True,0.95,0.1875,True,True,False
dev,phase7c1_collection_manifest_000173_human_022_fabricated,human_fabricated,True,0.95,0.18181818181818182,True,True,False
dev,phase7c1_collection_manifest_000116_human_015_clean,human_clean,False,0.95,0.05263157894736842,False,False,False
dev,phase7c1_collection_manifest_000112_ai_015_direct,ai_direct,False,0.95,0.07407407407407407,False,False,False
dev,phase7c1_collection_manifest_000016_ai_003_direct,ai_direct,False,0.95,0.05,False,False,False
dev,phase7c1_collection_manifest_000044_human_006_clean,human_clean,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000172_human_022_clean,human_clean,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000092_human_012_clean,human_clean,False,0.95,0.0,False,False,False
