task_name,feature_set,y_true_group,count,min_probability,q10_probability,q25_probability,median_probability,q75_probability,q90_probability,max_probability,mean_probability,std_probability
mixer_file_model,acoustic,0,46,4.822282486187644e-07,9.445311777645364e-05,0.000733814233997025,0.0049666150799566496,0.05115125961018192,0.17716344422626065,0.7180155659578794,0.06168967983915312,0.13877269796255248
mixer_file_model,acoustic,1,46,0.8894332269765547,0.9526809144526354,0.9641359302533659,0.9818832703721094,0.9921961561530204,0.9975251950071184,0.9992086139941638,0.9754367172216835,0.023262198492039657
mixer_file_model,combined,0,46,6.581530113465601e-05,0.00027333356194784997,0.0008302540766822,0.0029700775748799,0.03170467589038193,0.10002243060190455,0.9904391910774986,0.05938195614289831,0.16761842631206358
mixer_file_model,combined,1,46,0.843571590687158,0.9484891362470511,0.9679521062731965,0.9920446091216317,0.9968399812416234,0.9982665553378668,0.9996593795465132,0.9787159695958627,0.030648222271541462
mixer_file_model,ssl,0,46,7.244378215032646e-05,0.0009901305434467,0.0028380743797897,0.008823550613751851,0.04259566106883647,0.11195030185450225,0.9995375030319936,0.08110992963014618,0.21640437215364378
mixer_file_model,ssl,1,46,0.6668697369798278,0.8357444299054377,0.9273534455602503,0.9873829223836859,0.9967686690769766,0.999289627260984,0.9999754535390224,0.9483840976638789,0.07729078412545837
origin_file_model,acoustic,0,23,4.280325523711407e-05,0.0005069944954944801,0.0009911169093945,0.0079428012653996,0.02020591864922635,0.6772396471271884,0.9906810795233988,0.12898861955146354,0.30957223658286953
origin_file_model,acoustic,1,23,0.7366045866616294,0.9525436485129798,0.9777475829559468,0.9889990721494344,0.9965659142574558,0.9988450637494283,0.9996115571785916,0.9710905064426015,0.055905616942432845
origin_file_model,combined,0,23,6.681217751269997e-05,0.00020511069873202002,0.0007170311814812501,0.0044367223886889,0.0113403951605438,0.02116289316002446,0.2362965770633009,0.019435496920002904,0.048882384254029125
origin_file_model,combined,1,23,0.9397744416763804,0.9730061383654214,0.9876485259645493,0.9980023332732708,0.9991268810368459,0.9993700839902777,0.9996459160206724,0.9901579922843987,0.01674994658628285
origin_file_model,ssl,0,23,9.136437847160327e-05,0.00022187801812528004,0.0007758498123974,0.0039940618501076,0.010127842498605249,0.02219615143034858,0.1796530613009837,0.016011489175295296,0.03688022567692302
origin_file_model,ssl,1,23,0.9371179104547612,0.9750780431155104,0.9882777342535263,0.9979602976781138,0.999160148117767,0.9994056525436357,0.9996019939267546,0.990065055438291,0.017176214644997117
replay_file_model,acoustic,0,46,0.0001228694350028,0.00037637069901845,0.000944867729169525,0.0021625367230177,0.005328700328245175,0.14026126219944812,0.6070027905019693,0.04553539728502591,0.12700035453966657
replay_file_model,acoustic,1,46,0.0217203606514017,0.96369187005398,0.9875177306563926,0.9942367552595729,0.9981906030523032,0.9993665401003066,0.999862496085555,0.9673776553944703,0.14206418386565642
replay_file_model,combined,0,46,0.0004496201191691,0.00142725861696865,0.00233821636232075,0.0047019634679826994,0.0099806553514586,0.03719209442113175,0.9694077961412246,0.044457034858207616,0.16688920373068838
replay_file_model,combined,1,46,0.0055713788243217,0.9220661931214442,0.9814742912798045,0.9954014819149873,0.9987423945142744,0.999282675967408,0.99981678709822,0.9570663785309468,0.1480755658650017
replay_file_model,ssl,0,46,0.000291431725333,0.00153789192381335,0.0036803161721633503,0.0066748943419752006,0.012625297965758925,0.05582151986146565,0.9906368904235846,0.04062799190795464,0.15154237055777167
replay_file_model,ssl,1,46,0.0215092290232418,0.850401359545052,0.9726775619277825,0.9964375590104816,0.9985486782475468,0.9994653084427538,0.9998077505079724,0.9437240030426127,0.1598051026739571
