source,vote_threshold,segment_max_spoof_threshold,suspicious_chunk_ratio_threshold,clean_human_borderline_margin,n_samples,clean_human_false_alarm_count,clean_human_accept_count,clean_human_borderline_count,clean_human_review_rate,clean_human_n,human_replay_n,ai_replay_n,direct_ai_detected_count,direct_ai_segment_suspicious_count,human_replay_detected_count,ai_replay_detected_count,ai_replay_missed_count,ai_replay_segment_suspicious_count,human_mixer_detected_count,human_mixer_missed_count,ai_mixer_detected_count,ai_mixer_missed_count,ai_mixer_segment_suspicious_count,direct_ai_missed_count,human_replay_missed_count,partial_fabrication_missed_count,partial_fabrication_not_evaluable_count,partial_fabrication_detected_count,partial_fabrication_evaluable_n,direct_ai_n,human_mixer_n,ai_mixer_n,product_score
baseline,0.65,0.9,0.3,0.05,184,17,3,3,0.13043478260869565,23,23,23,1,18,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7434782608695654
baseline,0.65,0.95,0.1,0.05,184,17,3,3,0.13043478260869565,23,23,23,1,19,23,15,0,8,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7521739130434784
baseline,0.65,0.95,0.2,0.05,184,17,3,3,0.13043478260869565,23,23,23,1,18,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7434782608695654
baseline,0.65,0.95,0.3,0.05,184,17,3,3,0.13043478260869565,23,23,23,1,18,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7434782608695654
baseline,0.7,0.85,0.1,0.05,184,17,4,2,0.08695652173913043,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7608695652173914
baseline,0.7,0.85,0.2,0.05,184,17,4,2,0.08695652173913043,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7521739130434784
baseline,0.7,0.85,0.3,0.05,184,17,4,2,0.08695652173913043,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7521739130434784
baseline,0.7,0.9,0.1,0.05,184,17,4,2,0.08695652173913043,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7608695652173914
baseline,0.7,0.9,0.2,0.05,184,17,4,2,0.08695652173913043,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7521739130434784
baseline,0.7,0.9,0.3,0.05,184,17,4,2,0.08695652173913043,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7521739130434784
baseline,0.7,0.95,0.1,0.05,184,17,4,2,0.08695652173913043,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7608695652173914
baseline,0.7,0.95,0.2,0.05,184,17,4,2,0.08695652173913043,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7521739130434784
baseline,0.7,0.95,0.3,0.05,184,17,4,2,0.08695652173913043,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7521739130434784
baseline,0.75,0.85,0.1,0.05,184,16,6,1,0.043478260869565216,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7782608695652175
baseline,0.75,0.85,0.2,0.05,184,16,6,1,0.043478260869565216,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7695652173913043
baseline,0.75,0.85,0.3,0.05,184,16,6,1,0.043478260869565216,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7695652173913043
baseline,0.75,0.9,0.1,0.05,184,16,6,1,0.043478260869565216,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7782608695652175
baseline,0.75,0.9,0.2,0.05,184,16,6,1,0.043478260869565216,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7695652173913043
baseline,0.75,0.9,0.3,0.05,184,16,6,1,0.043478260869565216,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7695652173913043
baseline,0.75,0.95,0.1,0.05,184,16,6,1,0.043478260869565216,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7782608695652175
baseline,0.75,0.95,0.2,0.05,184,16,6,1,0.043478260869565216,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7695652173913043
baseline,0.75,0.95,0.3,0.05,184,16,6,1,0.043478260869565216,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7695652173913043
baseline,0.8,0.85,0.1,0.05,184,14,7,2,0.08695652173913043,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7869565217391306
baseline,0.8,0.85,0.2,0.05,184,14,7,2,0.08695652173913043,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7782608695652176
baseline,0.8,0.85,0.3,0.05,184,14,7,2,0.08695652173913043,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7782608695652176
baseline,0.8,0.9,0.1,0.05,184,14,7,2,0.08695652173913043,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7869565217391306
baseline,0.8,0.9,0.2,0.05,184,14,7,2,0.08695652173913043,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7782608695652176
baseline,0.8,0.9,0.3,0.05,184,14,7,2,0.08695652173913043,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7782608695652176
baseline,0.8,0.95,0.1,0.05,184,14,7,2,0.08695652173913043,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7869565217391306
baseline,0.8,0.95,0.2,0.05,184,14,7,2,0.08695652173913043,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7782608695652176
baseline,0.8,0.95,0.3,0.05,184,14,7,2,0.08695652173913043,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7782608695652176
r2_product,0.4,0.85,0.1,0.05,184,13,9,1,0.043478260869565216,23,23,23,2,14,17,0,11,12,23,0,23,0,0,7,6,13,0,33,46,23,23,23,0.6347826086956523
r2_product,0.4,0.85,0.2,0.05,184,13,9,1,0.043478260869565216,23,23,23,2,13,17,0,14,9,23,0,23,0,0,8,6,13,0,33,46,23,23,23,0.6260869565217392
r2_product,0.4,0.85,0.3,0.05,184,13,9,1,0.043478260869565216,23,23,23,2,13,17,0,16,7,23,0,23,0,0,8,6,13,0,33,46,23,23,23,0.6260869565217392
r2_product,0.4,0.9,0.1,0.05,184,13,9,1,0.043478260869565216,23,23,23,2,14,17,0,13,10,23,0,23,0,0,7,6,13,0,33,46,23,23,23,0.6347826086956523
r2_product,0.4,0.9,0.2,0.05,184,13,9,1,0.043478260869565216,23,23,23,2,13,17,0,17,6,23,0,23,0,0,8,6,13,0,33,46,23,23,23,0.6260869565217392
r2_product,0.4,0.9,0.3,0.05,184,13,9,1,0.043478260869565216,23,23,23,2,13,17,0,19,4,23,0,23,0,0,8,6,13,0,33,46,23,23,23,0.6260869565217392
r2_product,0.4,0.95,0.1,0.05,184,13,9,1,0.043478260869565216,23,23,23,2,14,17,0,14,9,23,0,23,0,0,7,6,13,0,33,46,23,23,23,0.6347826086956523
r2_product,0.4,0.95,0.2,0.05,184,13,9,1,0.043478260869565216,23,23,23,2,11,17,0,19,4,23,0,23,0,0,10,6,13,0,33,46,23,23,23,0.6086956521739131
r2_product,0.4,0.95,0.3,0.05,184,13,9,1,0.043478260869565216,23,23,23,2,11,17,0,22,1,23,0,23,0,0,10,6,13,0,33,46,23,23,23,0.6086956521739131
r2_product,0.45,0.85,0.1,0.05,184,13,9,1,0.043478260869565216,23,23,23,0,16,17,0,11,12,23,0,23,0,0,7,6,13,0,33,46,23,23,23,0.6347826086956523
r2_product,0.45,0.85,0.2,0.05,184,13,9,1,0.043478260869565216,23,23,23,0,15,17,0,14,9,23,0,23,0,0,8,6,13,0,33,46,23,23,23,0.6260869565217392
r2_product,0.45,0.85,0.3,0.05,184,13,9,1,0.043478260869565216,23,23,23,0,15,17,0,16,7,23,0,23,0,0,8,6,13,0,33,46,23,23,23,0.6260869565217392
r2_product,0.45,0.9,0.1,0.05,184,13,9,1,0.043478260869565216,23,23,23,0,16,17,0,13,10,23,0,23,0,0,7,6,13,0,33,46,23,23,23,0.6347826086956523
r2_product,0.45,0.9,0.2,0.05,184,13,9,1,0.043478260869565216,23,23,23,0,15,17,0,17,6,23,0,23,0,0,8,6,13,0,33,46,23,23,23,0.6260869565217392
r2_product,0.45,0.9,0.3,0.05,184,13,9,1,0.043478260869565216,23,23,23,0,15,17,0,19,4,23,0,23,0,0,8,6,13,0,33,46,23,23,23,0.6260869565217392
r2_product,0.45,0.95,0.1,0.05,184,13,9,1,0.043478260869565216,23,23,23,0,16,17,0,14,9,23,0,23,0,0,7,6,13,0,33,46,23,23,23,0.6347826086956523
