scope,n,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,specificity,fpr,fnr,f1,roc_auc,pr_auc,axis,feature_mode
phase7_test,40,10,28,2,0,0.95,0.9666666666666667,0.8333333333333334,1.0,0.9333333333333333,0.06666666666666667,0.0,0.9090909090909091,1.0,1.0,replay,baseline
testing_audios,25,4,10,8,3,0.56,0.5634920634920635,0.3333333333333333,0.5714285714285714,0.5555555555555556,0.4444444444444444,0.42857142857142855,0.42105263157894735,0.746031746031746,0.6673400129282481,replay,baseline
phase7_test,40,10,30,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,mixer,baseline
testing_audios,25,0,21,2,2,0.84,0.45652173913043476,0.0,0.0,0.9130434782608695,0.08695652173913043,1.0,0.0,0.6086956521739131,0.14285714285714285,mixer,baseline
phase7_test,40,10,28,2,0,0.95,0.9666666666666667,0.8333333333333334,1.0,0.9333333333333333,0.06666666666666667,0.0,0.9090909090909091,1.0,1.0,replay,dual
testing_audios,25,4,10,8,3,0.56,0.5634920634920635,0.3333333333333333,0.5714285714285714,0.5555555555555556,0.4444444444444444,0.42857142857142855,0.42105263157894735,0.738095238095238,0.6316257272139625,replay,dual
phase7_test,40,10,30,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,mixer,dual
testing_audios,25,0,21,2,2,0.84,0.45652173913043476,0.0,0.0,0.9130434782608695,0.08695652173913043,1.0,0.0,0.6086956521739131,0.14285714285714285,mixer,dual
