group_dimension,group_value,feature,count,row_count,missing_percent,mean,std,min,median,max
known_manipulation_labels,clean,high_band_energy_ratio,1024,1024,0.0,0.033922680771708985,0.0343931038918149,0.00035983604,0.022291277499999998,0.20947778
known_manipulation_labels,clean,very_high_band_energy_ratio,0,1024,100.0,,,,,
known_manipulation_labels,clean,noise_floor_proxy,1024,1024,0.0,0.011505362515345703,0.0142594391716268,2.9472103e-05,0.00552379295,0.096405737
known_manipulation_labels,clean,snr_proxy,1024,1024,0.0,310.8129498384765,706.63344767222,1.9271788,19.046901,5478.4721
known_manipulation_labels,clean,dynamic_range_proxy,1024,1024,0.0,0.17598828435058594,0.07485599703571183,0.017771576,0.169183545,0.51344258
known_manipulation_labels,clean,spectral_entropy_mean,1024,1024,0.0,3.5929766833007815,0.3788517652702853,2.4276581,3.5881604,4.6382391
known_manipulation_labels,clean,bandwidth_occupied_95,1024,1024,0.0,0.27924060814746093,0.19304062955177365,0.060546875,0.21948242,0.87402344
known_manipulation_labels,clean,mfcc_1_mean,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_1_std,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_2_mean,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_2_std,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_3_mean,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_3_std,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_4_mean,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_4_std,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_5_mean,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_5_std,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_6_mean,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_6_std,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_7_mean,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_7_std,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_8_mean,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_8_std,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_9_mean,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_9_std,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_10_mean,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_10_std,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_11_mean,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_11_std,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_12_mean,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_12_std,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_13_mean,0,1024,100.0,,,,,
known_manipulation_labels,clean,mfcc_13_std,0,1024,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,rms_mean,1207,1207,0.0,0.0684551255177299,0.024326049702462115,0.0027940508,0.067105331,0.15084121
known_manipulation_labels,edited_spliced;partial_fabrication,rms_std,1207,1207,0.0,0.043787235268351286,0.01689853779030707,0.0041298601,0.042816151,0.11334301
known_manipulation_labels,edited_spliced;partial_fabrication,peak_amplitude,1207,1207,0.0,0.5634212624299918,0.19098845053361924,0.044814795,0.54793286,1.2477136
known_manipulation_labels,edited_spliced;partial_fabrication,zero_crossing_rate_mean,1207,1207,0.0,0.1283905507439934,0.03374070611024018,0.052746001,0.12405056,0.27623155
known_manipulation_labels,edited_spliced;partial_fabrication,clipping_ratio,1207,1207,0.0,1.0874067937033968e-06,9.672523148028193e-06,0.0,0.0,0.000140625
known_manipulation_labels,edited_spliced;partial_fabrication,silence_ratio,1207,1207,0.0,0.023140407833968517,0.06630743170858998,0.0,0.0,0.8015873
known_manipulation_labels,edited_spliced;partial_fabrication,spectral_centroid_mean,1207,1207,0.0,1733.0058647804474,322.7322847227844,886.57551,1722.1714,2949.7737
known_manipulation_labels,edited_spliced;partial_fabrication,spectral_bandwidth_mean,1207,1207,0.0,1613.1701470671085,196.01567229276773,994.52597,1608.7649,2163.8105
known_manipulation_labels,edited_spliced;partial_fabrication,spectral_rolloff_mean,1207,1207,0.0,3299.747478127589,599.294569509936,1481.0268,3301.5873,5103.2118
known_manipulation_labels,edited_spliced;partial_fabrication,spectral_flatness_mean,1207,1207,0.0,0.02733468682145816,0.01427844153258339,0.0021198931,0.024943197,0.07417948
known_manipulation_labels,edited_spliced;partial_fabrication,spectral_contrast_mean,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,low_band_energy_ratio,1207,1207,0.0,0.49340184914913005,0.1818067046121114,0.085501469,0.47893184,0.89216843
known_manipulation_labels,edited_spliced;partial_fabrication,mid_band_energy_ratio,1207,1207,0.0,0.47326075941010776,0.19374081348687552,0.043934056,0.48479905,0.90368648
known_manipulation_labels,edited_spliced;partial_fabrication,high_band_energy_ratio,1207,1207,0.0,0.03333738755937034,0.03324832606031089,0.00037836036,0.021594572,0.20790364
known_manipulation_labels,edited_spliced;partial_fabrication,very_high_band_energy_ratio,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,noise_floor_proxy,1207,1207,0.0,0.011278747857763049,0.013709285471019416,2.9487499e-05,0.0057660048,0.096403167
known_manipulation_labels,edited_spliced;partial_fabrication,snr_proxy,1207,1207,0.0,283.88966602079535,654.2746854700002,1.9652077,18.38436,5432.6685
known_manipulation_labels,edited_spliced;partial_fabrication,dynamic_range_proxy,1207,1207,0.0,0.17324686812261808,0.07124996139618642,0.018110992,0.16712442,0.49801978
known_manipulation_labels,edited_spliced;partial_fabrication,spectral_entropy_mean,1207,1207,0.0,3.593090991383596,0.36807121170738444,2.5367732,3.586726,4.6366514
known_manipulation_labels,edited_spliced;partial_fabrication,bandwidth_occupied_95,1207,1207,0.0,0.27712651133140015,0.18947541705892965,0.065429688,0.21923828,0.87402344
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_1_mean,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_1_std,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_2_mean,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_2_std,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_3_mean,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_3_std,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_4_mean,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_4_std,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_5_mean,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_5_std,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_6_mean,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_6_std,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_7_mean,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_7_std,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_8_mean,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_8_std,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_9_mean,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_9_std,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_10_mean,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_10_std,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_11_mean,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_11_std,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_12_mean,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_12_std,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_13_mean,0,1207,100.0,,,,,
known_manipulation_labels,edited_spliced;partial_fabrication,mfcc_13_std,0,1207,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,rms_mean,1022,1022,0.0,0.08991606049217221,0.02354650474303636,0.016932912,0.089873012,0.18757071
known_manipulation_labels,mixer_channel_processed,rms_std,1022,1022,0.0,0.05216733741193738,0.011140836480253108,0.016574543,0.052949842,0.097112037
known_manipulation_labels,mixer_channel_processed,peak_amplitude,1022,1022,0.0,0.5600268864383562,0.06302999894343343,0.225766,0.564050405,0.7399947
known_manipulation_labels,mixer_channel_processed,zero_crossing_rate_mean,1022,1022,0.0,0.12035868300880626,0.023980835303769626,0.062209356,0.120950365,0.20108032
known_manipulation_labels,mixer_channel_processed,clipping_ratio,1022,1022,0.0,0.0,0.0,0.0,0.0,0.0
known_manipulation_labels,mixer_channel_processed,silence_ratio,1022,1022,0.0,0.00034168918610567514,0.0017227201767925785,0.0,0.0,0.015873016
known_manipulation_labels,mixer_channel_processed,spectral_centroid_mean,1022,1022,0.0,1566.8628801369862,178.56351222500172,1039.2873,1580.81885,2116.9223
known_manipulation_labels,mixer_channel_processed,spectral_bandwidth_mean,1022,1022,0.0,1541.872377592955,114.23528104922897,1180.4391,1545.5088999999998,1924.1038
known_manipulation_labels,mixer_channel_processed,spectral_rolloff_mean,1022,1022,0.0,2991.6005631115454,320.9278852933003,1858.817,3024.5226000000002,3988.8916
known_manipulation_labels,mixer_channel_processed,spectral_flatness_mean,1022,1022,0.0,0.01858726424559687,0.009082984346809292,0.0022199766,0.0174063155,0.053223531
known_manipulation_labels,mixer_channel_processed,spectral_contrast_mean,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,low_band_energy_ratio,1022,1022,0.0,0.4748756232495107,0.16259600772870483,0.076390574,0.481198385,0.86334958
known_manipulation_labels,mixer_channel_processed,mid_band_energy_ratio,1022,1022,0.0,0.5039713189236791,0.16086195267284478,0.1228668,0.4939548,0.9214516
known_manipulation_labels,mixer_channel_processed,high_band_energy_ratio,1022,1022,0.0,0.021153054509344422,0.01881836415402924,0.00052814543,0.0163880765,0.13507269
known_manipulation_labels,mixer_channel_processed,very_high_band_energy_ratio,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,noise_floor_proxy,1022,1022,0.0,0.02237617150978474,0.01772212389004365,0.0075228177,0.013456230999999999,0.11675286
known_manipulation_labels,mixer_channel_processed,snr_proxy,1022,1022,0.0,10.39456772622309,5.136143754461637,1.3993556,10.9197835,24.739993
known_manipulation_labels,mixer_channel_processed,dynamic_range_proxy,1022,1022,0.0,0.2040082023082192,0.04415815695730988,0.069898151,0.20213135999999998,0.34571555
known_manipulation_labels,mixer_channel_processed,spectral_entropy_mean,1022,1022,0.0,3.6570462208414876,0.42581021057665014,2.3116995,3.66091385,4.8566089
known_manipulation_labels,mixer_channel_processed,bandwidth_occupied_95,1022,1022,0.0,0.22826001806947163,0.10229815162356234,0.052734375,0.24267578,0.47509766
known_manipulation_labels,mixer_channel_processed,mfcc_1_mean,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_1_std,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_2_mean,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_2_std,0,1022,100.0,,,,,
