group_dimension,group_value,feature,count,row_count,missing_percent,mean,std,min,median,max
all,all,rms_mean,184,184,0.0,0.07470765272228261,0.02144106924181335,0.0081161559,0.075966179,0.13272694
all,all,rms_std,184,184,0.0,0.044404979889673915,0.01602560108261566,0.0072705597,0.047462789500000005,0.079900146
all,all,rms_min,184,184,0.0,0.0052141864602597825,0.009363621437094771,6.040977e-06,3.6499312000000004e-05,0.036216114
all,all,rms_max,184,184,0.0,0.23544954304891305,0.08748824308905062,0.042510152,0.238840945,0.51738071
all,all,peak_amplitude,184,184,0.0,0.6498022390815217,0.1722241441415564,0.083914481,0.6146695600000001,1.2502007
all,all,mean_amplitude,184,184,0.0,0.055453839052173916,0.016573206370659878,0.0056968936,0.055292111500000005,0.1039311
all,all,std_amplitude,184,184,0.0,0.08746237685869565,0.024966621909701833,0.010899558,0.091504257,0.14870276
all,all,dc_offset,184,184,0.0,-2.9229728418152172e-05,8.128121393541365e-05,-0.0005474959,-3.9174465999999996e-05,0.00026503308
all,all,zero_crossing_rate_mean,184,184,0.0,0.14166232801086956,0.04058087999800488,0.07676511,0.133706655,0.27708478
all,all,zero_crossing_rate_std,184,184,0.0,0.09464748424456522,0.032300267269743985,0.022339043,0.098290812,0.14707221
all,all,clipping_ratio,184,184,0.0,9.45628870652174e-07,4.977104915205658e-06,0.0,0.0,5.3398408e-05
all,all,silence_ratio,184,184,0.0,0.010264153406576087,0.030485779413773024,0.0,0.00067705304,0.22760801
all,all,active_audio_ratio,184,184,0.0,0.9897358465760869,0.030485779524646237,0.77239199,0.9993229450000001,1.0
all,all,spectral_centroid_mean,184,184,0.0,1801.426644021739,365.88634941105795,1150.0774,1715.94585,2901.5211
all,all,spectral_centroid_std,184,184,0.0,825.6676779891304,282.97305776766734,193.87884,831.43961,1392.0796
all,all,spectral_bandwidth_mean,184,184,0.0,1643.437015217391,187.0607075867489,1172.9972,1613.9265500000001,2104.5818
all,all,spectral_bandwidth_std,184,184,0.0,384.00402722826084,99.90041756804331,139.44729,364.64293,602.86536
all,all,spectral_rolloff_mean,184,184,0.0,3440.6404076086956,683.965331771124,2091.2527,3256.8924500000003,5496.7981
all,all,spectral_rolloff_std,184,184,0.0,1404.0055370108694,388.6156216129536,548.62942,1342.8117,2204.7338
all,all,spectral_flatness_mean,184,184,0.0,0.03067782996847826,0.018448503256346293,0.0057626771,0.0248678105,0.084002348
all,all,spectral_flatness_std,184,184,0.0,0.03902287613043478,0.013752332239640255,0.008986141,0.039568059,0.070475149
all,all,spectral_contrast_mean,184,184,0.0,23.457916347826085,1.2342401202542133,20.878425,23.485837,26.330072
all,all,spectral_contrast_std,184,184,0.0,2.401868088043478,0.6649560580429601,1.2300761,2.4870741,3.6840373
all,all,low_band_energy_ratio,184,184,0.0,0.37923566825543475,0.22251158009002744,0.020898923,0.41801332,0.79914627
all,all,mid_band_energy_ratio,184,184,0.0,0.5568412972282609,0.19042669658548378,0.13194149,0.5542568800000001,0.95652348
all,all,high_band_energy_ratio,184,184,0.0,0.06392303449347826,0.09629784698132421,0.0010607217,0.027721192,0.42401452
all,all,very_high_band_energy_ratio,0,184,100.0,,,,,
all,all,noise_floor_proxy,184,184,0.0,0.016712317103043477,0.013747852641873608,6.406795e-05,0.0132571535,0.057283163
all,all,snr_proxy,184,184,0.0,120.14916753532607,412.6341689967624,2.0925825,10.825781,2580.3959
all,all,dynamic_range_proxy,184,184,0.0,0.23023535601630435,0.09189759479263238,0.042504109,0.237173945,0.51344258
all,all,spectral_entropy_mean,184,184,0.0,3.827994942391304,0.5476718324332648,2.8494973,3.69817615,5.1377983
all,all,spectral_entropy_std,184,184,0.0,0.9730602420652174,0.20469160920236687,0.47317399,1.0067754,1.4143083
all,all,high_freq_rolloff_ratio,184,184,0.0,0.4300800507608696,0.08549566648657457,0.26140658,0.407111565,0.68709976
