scope,n,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,specificity,fpr,fnr,f1,threshold
dev,40,29,1,9,1,0.75,0.5333333333333333,0.7631578947368421,0.9666666666666667,0.1,0.9,0.03333333333333333,0.8529411764705882,0.05
dev,40,29,1,9,1,0.75,0.5333333333333333,0.7631578947368421,0.9666666666666667,0.1,0.9,0.03333333333333333,0.8529411764705882,0.06
dev,40,29,1,9,1,0.75,0.5333333333333333,0.7631578947368421,0.9666666666666667,0.1,0.9,0.03333333333333333,0.8529411764705882,0.07
dev,40,29,1,9,1,0.75,0.5333333333333333,0.7631578947368421,0.9666666666666667,0.1,0.9,0.03333333333333333,0.8529411764705882,0.08
dev,40,28,1,9,2,0.725,0.5166666666666667,0.7567567567567568,0.9333333333333333,0.1,0.9,0.06666666666666667,0.835820895522388,0.09
dev,40,28,3,7,2,0.775,0.6166666666666667,0.8,0.9333333333333333,0.3,0.7,0.06666666666666667,0.8615384615384616,0.1
dev,40,27,3,7,3,0.75,0.6,0.7941176470588235,0.9,0.3,0.7,0.1,0.84375,0.11
dev,40,26,3,7,4,0.725,0.5833333333333334,0.7878787878787878,0.8666666666666667,0.3,0.7,0.13333333333333333,0.8253968253968254,0.12
dev,40,24,4,6,6,0.7,0.6000000000000001,0.8,0.8,0.4,0.6,0.2,0.8,0.13
dev,40,20,4,6,10,0.6,0.5333333333333333,0.7692307692307693,0.6666666666666666,0.4,0.6,0.3333333333333333,0.7142857142857143,0.14
dev,40,19,4,6,11,0.575,0.5166666666666666,0.76,0.6333333333333333,0.4,0.6,0.36666666666666664,0.6909090909090909,0.15
dev,40,19,4,6,11,0.575,0.5166666666666666,0.76,0.6333333333333333,0.4,0.6,0.36666666666666664,0.6909090909090909,0.16
dev,40,19,4,6,11,0.575,0.5166666666666666,0.76,0.6333333333333333,0.4,0.6,0.36666666666666664,0.6909090909090909,0.17
dev,40,19,4,6,11,0.575,0.5166666666666666,0.76,0.6333333333333333,0.4,0.6,0.36666666666666664,0.6909090909090909,0.18
dev,40,19,4,6,11,0.575,0.5166666666666666,0.76,0.6333333333333333,0.4,0.6,0.36666666666666664,0.6909090909090909,0.19
dev,40,19,4,6,11,0.575,0.5166666666666666,0.76,0.6333333333333333,0.4,0.6,0.36666666666666664,0.6909090909090909,0.2
dev,40,17,4,6,13,0.525,0.48333333333333334,0.7391304347826086,0.5666666666666667,0.4,0.6,0.43333333333333335,0.6415094339622641,0.21
dev,40,17,4,6,13,0.525,0.48333333333333334,0.7391304347826086,0.5666666666666667,0.4,0.6,0.43333333333333335,0.6415094339622641,0.22
dev,40,17,4,6,13,0.525,0.48333333333333334,0.7391304347826086,0.5666666666666667,0.4,0.6,0.43333333333333335,0.6415094339622641,0.23
dev,40,17,5,5,13,0.55,0.5333333333333333,0.7727272727272727,0.5666666666666667,0.5,0.5,0.43333333333333335,0.6538461538461539,0.24
dev,40,17,6,4,13,0.575,0.5833333333333333,0.8095238095238095,0.5666666666666667,0.6,0.4,0.43333333333333335,0.6666666666666666,0.25
