task_name,feature_set,threshold,precision,recall,f1,false_positive_rate,false_negative_rate,tn,fp,fn,tp,partial_detected_rate,non_partial_false_alarm_rate
partial_file_candidate_model,acoustic,0.1,0.47368421052631576,0.9782608695652174,0.6382978723404256,0.36231884057971014,0.021739130434782608,88,50,1,45,0.9782608695652174,0.36231884057971014
partial_file_candidate_model,acoustic,0.15,0.4888888888888889,0.9565217391304348,0.6470588235294118,0.3333333333333333,0.043478260869565216,92,46,2,44,0.9565217391304348,0.3333333333333333
partial_file_candidate_model,acoustic,0.2,0.5,0.9565217391304348,0.6567164179104478,0.3188405797101449,0.043478260869565216,94,44,2,44,0.9565217391304348,0.3188405797101449
partial_file_candidate_model,acoustic,0.25,0.5058823529411764,0.9347826086956522,0.6564885496183206,0.30434782608695654,0.06521739130434782,96,42,3,43,0.9347826086956522,0.30434782608695654
partial_file_candidate_model,acoustic,0.3,0.5,0.8913043478260869,0.640625,0.2971014492753623,0.10869565217391304,97,41,5,41,0.8913043478260869,0.2971014492753623
partial_file_candidate_model,acoustic,0.35,0.5,0.8478260869565217,0.6290322580645161,0.2826086956521739,0.15217391304347827,99,39,7,39,0.8478260869565217,0.2826086956521739
partial_file_candidate_model,acoustic,0.4,0.4864864864864865,0.782608695652174,0.6,0.2753623188405797,0.21739130434782608,100,38,10,36,0.782608695652174,0.2753623188405797
partial_file_candidate_model,acoustic,0.45,0.4861111111111111,0.7608695652173914,0.5932203389830508,0.26811594202898553,0.2391304347826087,101,37,11,35,0.7608695652173914,0.26811594202898553
partial_file_candidate_model,acoustic,0.5,0.5074626865671642,0.7391304347826086,0.6017699115044248,0.2391304347826087,0.2608695652173913,105,33,12,34,0.7391304347826086,0.2391304347826087
partial_file_candidate_model,acoustic,0.55,0.5151515151515151,0.7391304347826086,0.6071428571428571,0.2318840579710145,0.2608695652173913,106,32,12,34,0.7391304347826086,0.2318840579710145
partial_file_candidate_model,acoustic,0.6,0.5396825396825397,0.7391304347826086,0.6238532110091743,0.21014492753623187,0.2608695652173913,109,29,12,34,0.7391304347826086,0.21014492753623187
partial_file_candidate_model,acoustic,0.65,0.5344827586206896,0.6739130434782609,0.5961538461538461,0.1956521739130435,0.32608695652173914,111,27,15,31,0.6739130434782609,0.1956521739130435
partial_file_candidate_model,acoustic,0.7,0.5098039215686274,0.5652173913043478,0.5360824742268041,0.18115942028985507,0.43478260869565216,113,25,20,26,0.5652173913043478,0.18115942028985507
partial_file_candidate_model,acoustic,0.75,0.5,0.45652173913043476,0.4772727272727273,0.15217391304347827,0.5434782608695652,117,21,25,21,0.45652173913043476,0.15217391304347827
partial_file_candidate_model,acoustic,0.8,0.5142857142857142,0.391304347826087,0.4444444444444444,0.12318840579710146,0.6086956521739131,121,17,28,18,0.391304347826087,0.12318840579710146
partial_file_candidate_model,acoustic,0.85,0.5555555555555556,0.32608695652173914,0.410958904109589,0.08695652173913043,0.6739130434782609,126,12,31,15,0.32608695652173914,0.08695652173913043
