accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,roc_auc,average_precision,brier_score,task_name,feature_set,fold,split_method,group_column,used_folds,model_type,metric_scope,oof_accuracy,oof_balanced_accuracy,oof_precision,oof_recall,oof_f1,oof_tn,oof_fp,oof_fn,oof_tp,oof_roc_auc,oof_average_precision,oof_brier_score
0.7027027027027027,0.736013986013986,0.5,0.8181818181818182,0.6206896551724138,17.0,9.0,2.0,9.0,0.8321678321678321,0.6424814220866852,0.1959794557512504,partial_file_candidate_model,acoustic,1.0,StratifiedGroupKFold,leakage_group_id,5,logistic_regression_l2,,,,,,,,,,,,,
0.7837837837837838,0.7412587412587412,0.6363636363636364,0.6363636363636364,0.6363636363636364,22.0,4.0,4.0,7.0,0.8496503496503496,0.6268886350226063,0.1584655463235559,partial_file_candidate_model,acoustic,2.0,StratifiedGroupKFold,leakage_group_id,5,logistic_regression_l2,,,,,,,,,,,,,
0.8108108108108109,0.8833333333333333,0.5,1.0,0.6666666666666666,23.0,7.0,0.0,7.0,0.880952380952381,0.5335299621013906,0.14381442249134985,partial_file_candidate_model,acoustic,3.0,StratifiedGroupKFold,leakage_group_id,5,logistic_regression_l2,,,,,,,,,,,,,
0.7027027027027027,0.6523809523809523,0.3333333333333333,0.5714285714285714,0.42105263157894735,22.0,8.0,3.0,4.0,0.7714285714285714,0.3518140589569161,0.20457449854483759,partial_file_candidate_model,acoustic,4.0,StratifiedGroupKFold,leakage_group_id,5,logistic_regression_l2,,,,,,,,,,,,,
0.7777777777777778,0.7538461538461538,0.5833333333333334,0.7,0.6363636363636364,21.0,5.0,3.0,7.0,0.873076923076923,0.6580411255411255,0.13510753036235676,partial_file_candidate_model,acoustic,5.0,StratifiedGroupKFold,leakage_group_id,5,logistic_regression_l2,,,,,,,,,,,,,
0.7555555555555555,0.7533666333666333,0.5106060606060605,0.7451948051948052,0.5962272452290601,21.0,6.6,2.4,6.8,0.8414552114552114,0.5625510407417448,0.1675882906946701,partial_file_candidate_model,acoustic,,StratifiedGroupKFold,leakage_group_id,5,logistic_regression_l2,cross_validated_experimental_mean,0.7554347826086957,0.75,0.5074626865671642,0.7391304347826086,0.6017699115044248,105.0,33.0,12.0,34.0,0.8364839319470698,0.5175736830667188,0.16776481656604136
0.7567567567567568,0.8006993006993006,0.5555555555555556,0.9090909090909091,0.6896551724137931,18.0,8.0,1.0,10.0,0.8986013986013986,0.8227633477633478,0.16242253575289878,partial_file_candidate_model,ssl,1.0,StratifiedGroupKFold,leakage_group_id,5,logistic_regression_l2,,,,,,,,,,,,,
0.918918918918919,0.916083916083916,0.8333333333333334,0.9090909090909091,0.8695652173913043,24.0,2.0,1.0,10.0,0.9545454545454546,0.8557404716495626,0.0802010340852357,partial_file_candidate_model,ssl,2.0,StratifiedGroupKFold,leakage_group_id,5,logistic_regression_l2,,,,,,,,,,,,,
0.8918918918918919,0.8785714285714286,0.6666666666666666,0.8571428571428571,0.75,27.0,3.0,1.0,6.0,0.9333333333333333,0.792517006802721,0.10511013227341957,partial_file_candidate_model,ssl,3.0,StratifiedGroupKFold,leakage_group_id,5,logistic_regression_l2,,,,,,,,,,,,,
0.8378378378378378,0.9,0.5384615384615384,1.0,0.7,24.0,6.0,0.0,7.0,0.9333333333333333,0.754004329004329,0.11557655932150282,partial_file_candidate_model,ssl,4.0,StratifiedGroupKFold,leakage_group_id,5,logistic_regression_l2,,,,,,,,,,,,,
0.8333333333333334,0.7923076923076923,0.7,0.7,0.7,23.0,3.0,3.0,7.0,0.9423076923076923,0.8952272727272726,0.09409408401978077,partial_file_candidate_model,ssl,5.0,StratifiedGroupKFold,leakage_group_id,5,logistic_regression_l2,,,,,,,,,,,,,
