accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,roc_auc,average_precision,brier_score,task_name,feature_set,fold,split_method,group_column,used_folds,model_type,metric_scope,oof_accuracy,oof_balanced_accuracy,oof_precision,oof_recall,oof_f1,oof_tn,oof_fp,oof_fn,oof_tp,oof_roc_auc,oof_average_precision,oof_brier_score,precision_at_top5_per_file,recall_at_fpr_10pct
0.6982758620689655,0.7109711164360619,0.13805970149253732,0.7254901960784313,0.23197492163009403,530.0,231.0,14.0,37.0,0.7573368374945247,0.14086574542872288,0.19226003611732806,partial_segment_localizer_v2,acoustic,1.0,StratifiedGroupKFold,file_id,5,logistic_regression_l2,,,,,,,,,,,,,,,
0.5988764044943821,0.601169946574694,0.08695652173913043,0.6037735849056604,0.15201900237529692,501.0,336.0,21.0,32.0,0.6872703500822794,0.1148947805654314,0.24050028379035743,partial_segment_localizer_v2,acoustic,2.0,StratifiedGroupKFold,file_id,5,logistic_regression_l2,,,,,,,,,,,,,,,
0.6691086691086691,0.7532051282051282,0.11073825503355705,0.8461538461538461,0.19584569732937684,515.0,265.0,6.0,33.0,0.7950032873109796,0.13806328774281368,0.2023234579913635,partial_segment_localizer_v2,acoustic,3.0,StratifiedGroupKFold,file_id,5,logistic_regression_l2,,,,,,,,,,,,,,,
0.6410564225690276,0.6114862628268785,0.07213114754098361,0.5789473684210527,0.1282798833819242,512.0,283.0,16.0,22.0,0.6901357166501159,0.07411091890159874,0.2125037718543852,partial_segment_localizer_v2,acoustic,4.0,StratifiedGroupKFold,file_id,5,logistic_regression_l2,,,,,,,,,,,,,,,
0.6818757921419518,0.711235114408629,0.11764705882352941,0.7441860465116279,0.20317460317460317,506.0,240.0,11.0,32.0,0.7800985098821622,0.1164679557803617,0.19641064108671397,partial_segment_localizer_v2,acoustic,5.0,StratifiedGroupKFold,file_id,5,logistic_regression_l2,,,,,,,,,,,,,,,
0.6578386300765992,0.6776135136902783,0.10510653692594756,0.6997102084141237,0.18225882157825904,512.8,271.0,13.6,31.2,0.7419689402840124,0.11688053768378567,0.20879963816802963,partial_segment_localizer_v2,acoustic,,StratifiedGroupKFold,file_id,5,logistic_regression_l2,cross_validated_experimental_mean,0.6565290852039585,0.675338552108774,0.10324288550628723,0.6964285714285714,0.17982708933717578,2564.0,1355.0,68.0,156.0,0.7396805398607517,0.10929707247722192,0.20947307549305705,0.2782608695652174,0.20535714285714285
0.7844827586206896,0.6837881013114838,0.15934065934065933,0.5686274509803921,0.24892703862660945,608.0,153.0,22.0,29.0,0.8102342119502203,0.31590592947280177,0.1470813406425678,partial_segment_localizer_v2,ssl,1.0,StratifiedGroupKFold,file_id,5,logistic_regression_l2,,,,,,,,,,,,,,,
0.7460674157303371,0.6352426681093754,0.11894273127753303,0.5094339622641509,0.19285714285714287,637.0,200.0,26.0,27.0,0.770451522733933,0.23353048199889714,0.18121048693855865,partial_segment_localizer_v2,ssl,2.0,StratifiedGroupKFold,file_id,5,logistic_regression_l2,,,,,,,,,,,,,,,
0.8058608058608059,0.7275641025641026,0.14705882352941177,0.6410256410256411,0.23923444976076555,635.0,145.0,14.0,25.0,0.7922090729783037,0.20352727714028557,0.14017744661712297,partial_segment_localizer_v2,ssl,3.0,StratifiedGroupKFold,file_id,5,logistic_regression_l2,,,,,,,,,,,,,,,
0.8043217286914766,0.6970208540218471,0.1301775147928994,0.5789473684210527,0.21256038647342995,648.0,147.0,16.0,22.0,0.7872227739159219,0.2846558708730246,0.1387539406053805,partial_segment_localizer_v2,ssl,4.0,StratifiedGroupKFold,file_id,5,logistic_regression_l2,,,,,,,,,,,,,,,
0.7731305449936628,0.682788827233618,0.13440860215053763,0.5813953488372093,0.2183406113537118,585.0,161.0,18.0,25.0,0.8150445788390798,0.3028296005870035,0.154208302021261,partial_segment_localizer_v2,ssl,5.0,StratifiedGroupKFold,file_id,5,logistic_regression_l2,,,,,,,,,,,,,,,
0.7827726507793944,0.6852809106480854,0.13798566621820824,0.5758859543056892,0.22238392581433192,622.6,161.2,19.2,25.6,0.7950324320834917,0.2680898320144025,0.1522863033649782,partial_segment_localizer_v2,ssl,,StratifiedGroupKFold,file_id,5,logistic_regression_l2,cross_validated_experimental_mean,0.7822833695389814,0.6828819305216345,0.13704496788008566,0.5714285714285714,0.22107081174438686,3113.0,806.0,96.0,128.0,0.7961442423358728,0.24372262734537825,0.152731135306677,0.39999999999999997,0.39732142857142855
0.8374384236453202,0.8766844451315349,0.26857142857142857,0.9215686274509803,0.415929203539823,633.0,128.0,4.0,47.0,0.9451959496019169,0.4932004353591306,0.11841827288889016,partial_segment_localizer_v2,localization,1.0,StratifiedGroupKFold,file_id,5,logistic_regression_l2,,,,,,,,,,,,,,,
0.8415730337078652,0.8539144744257343,0.25555555555555554,0.8679245283018868,0.3948497854077253,703.0,134.0,7.0,46.0,0.9185996708820812,0.3405424890499518,0.10965235058919738,partial_segment_localizer_v2,localization,2.0,StratifiedGroupKFold,file_id,5,logistic_regression_l2,,,,,,,,,,,,,,,
0.8266178266178266,0.8602564102564103,0.2023121387283237,0.8974358974358975,0.330188679245283,642.0,138.0,4.0,35.0,0.9257396449704143,0.28300044005630115,0.12308648941187446,partial_segment_localizer_v2,localization,3.0,StratifiedGroupKFold,file_id,5,logistic_regression_l2,,,,,,,,,,,,,,,
0.8403361344537815,0.8411784177424694,0.20125786163522014,0.8421052631578947,0.3248730964467005,668.0,127.0,6.0,32.0,0.8989407480966567,0.23306988310343765,0.1173643991837705,partial_segment_localizer_v2,localization,4.0,StratifiedGroupKFold,file_id,5,logistic_regression_l2,,,,,,,,,,,,,,,
0.8377693282636248,0.8703784525219777,0.2392638036809816,0.9069767441860465,0.3786407766990291,622.0,124.0,4.0,39.0,0.927302200885342,0.4664024564888586,0.10836120378102589,partial_segment_localizer_v2,localization,5.0,StratifiedGroupKFold,file_id,5,logistic_regression_l2,,,,,,,,,,,,,,,
