task_name,feature_set,file_id,file_category,is_partial_file,segment_count,segment_threshold,high_segment_fraction_at_threshold,top1_inside_true_region,top3_any_inside_true_region,top5_any_inside_true_region,top5_inside_count,best_rank_inside_region,max_prob_inside,mean_prob_inside,max_prob_outside,mean_prob_outside,inside_minus_outside_mean,false_high_segment_count,false_high_segment_rate,broad_false_activation_flag,broad_activation_flag,localized_pattern_supported
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000042_ai_006_mixer_processed,ai_mixer,false,26,0.5,0.0,,,,,,,,0.0017760713721944,0.00018522596095970422,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000043_ai_006_replay_laptop_mobile,ai_replay,false,27,0.5,0.0,,,,,,,,0.2337399551674479,0.009822110060808418,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000044_human_006_clean,human_clean,false,19,0.5,0.10526315789473684,,,,,,,,0.8441909153852787,0.10078346664172136,,2,0.10526315789473684,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000045_human_006_fabricated,human_fabricated,true,22,0.5,0.2727272727272727,true,true,true,3,1,0.9999999115883264,0.9963168123575565,0.9889286157759692,0.20926203668103444,0.787054775676522,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000046_human_006_mixer_processed,human_mixer,false,18,0.5,0.0,,,,,,,,0.2115474843827618,0.021143884656146007,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000047_human_006_replay_laptop_mobile,human_replay,false,16,0.5,0.0,,,,,,,,0.1498969512498506,0.014772559954807307,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000048_ai_007_direct,ai_direct,false,23,0.5,0.17391304347826086,,,,,,,,0.9026609120243348,0.16020346373732108,,4,0.17391304347826086,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000049_ai_007_fabricated,ai_fabricated,true,28,0.5,0.03571428571428571,false,true,true,2,2,0.4592622936053944,0.26267026509525604,0.7022856585648983,0.09814689333796177,0.16452337175729426,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000050_ai_007_mixer_processed,ai_mixer,false,23,0.5,0.0,,,,,,,,0.1365712701471957,0.008885371915280623,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000051_ai_007_replay_laptop_mobile,ai_replay,false,23,0.5,0.0,,,,,,,,0.0009238290113449,4.487155550084864e-05,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000052_human_007_clean,human_clean,false,15,0.5,0.0,,,,,,,,0.3140246863629539,0.035905856870955204,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000053_human_007_fabricated,human_fabricated,true,19,0.5,0.21052631578947367,true,true,true,4,1,0.9997480096114786,0.996663491500118,0.1145072014875123,0.013939292664077904,0.9827241988360401,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000054_human_007_mixer_processed,human_mixer,false,15,0.5,0.0,,,,,,,,0.3543151545582371,0.026157850952269045,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000055_human_007_replay_laptop_mobile,human_replay,false,18,0.5,0.0,,,,,,,,0.0005869540105836,5.883054949890087e-05,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000056_ai_008_direct,ai_direct,false,17,0.5,0.17647058823529413,,,,,,,,0.7420415927490156,0.14901346016017034,,3,0.17647058823529413,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000057_ai_008_fabricated,ai_fabricated,true,21,0.5,0.2857142857142857,true,true,true,4,1,0.997234028373202,0.7929864713882075,0.9723925352622392,0.18144347829471355,0.611542993093494,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000058_ai_008_mixer_processed,ai_mixer,false,22,0.5,0.0,,,,,,,,0.113029527714621,0.008682126136065319,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000059_ai_008_replay_laptop_mobile,ai_replay,false,26,0.5,0.0,,,,,,,,0.0206781913118069,0.0009695048311756444,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000060_human_008_clean,human_clean,false,7,0.5,0.0,,,,,,,,0.0498901437267937,0.0211879945034752,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000061_human_008_fabricated,human_fabricated,true,10,0.5,0.1,false,true,true,2,2,0.3146659681749617,0.14962646263830334,0.995996890180977,0.17580300573067634,-0.026176543092372995,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000062_human_008_mixer_processed,human_mixer,false,7,0.5,0.0,,,,,,,,0.0635823023157147,0.009898210999275736,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000063_human_008_replay_laptop_mobile,human_replay,false,19,0.5,0.0,,,,,,,,0.0030903899748719,0.0002014907044990934,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000064_ai_009_direct,ai_direct,false,21,0.5,0.09523809523809523,,,,,,,,0.7733903762837377,0.11680446349037672,,2,0.09523809523809523,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000065_ai_009_fabricated,ai_fabricated,true,26,0.5,0.19230769230769232,true,true,true,5,1,0.9986071992156058,0.8035715927919577,0.2559461745296692,0.036351888092815254,0.7672197046991425,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000066_ai_009_mixer_processed,ai_mixer,false,18,0.5,0.0,,,,,,,,0.0056480364139507,0.0007649168410999422,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000067_ai_009_replay_laptop_mobile,ai_replay,false,27,0.5,0.0,,,,,,,,0.0447055477586262,0.0018818956665504162,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000068_human_009_clean,human_clean,false,23,0.5,0.043478260869565216,,,,,,,,0.5130154096004141,0.07080145763738567,,1,0.043478260869565216,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000069_human_009_fabricated,human_fabricated,true,28,0.5,0.17857142857142858,true,true,true,5,1,0.9994294937233106,0.9542429429343467,0.3173769971554779,0.03474760785873017,0.9194953350756165,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000070_human_009_mixer_processed,human_mixer,false,22,0.5,0.0,,,,,,,,0.2981719832167616,0.01639219009706545,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000071_human_009_replay_laptop_mobile,human_replay,false,14,0.5,0.0,,,,,,,,0.0067357657129253,0.0006279046594309968,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000072_ai_010_direct,ai_direct,false,21,0.5,0.09523809523809523,,,,,,,,0.9640267620903747,0.10810710329172231,,2,0.09523809523809523,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000073_ai_010_fabricated,ai_fabricated,true,25,0.5,0.2,true,true,true,4,1,0.9984910179495652,0.9339954445965597,0.5933435795932724,0.053103848043926725,0.8808915965526329,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000074_ai_010_mixer_processed,ai_mixer,false,22,0.5,0.0,,,,,,,,0.1985832888642917,0.01007957447014726,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000075_ai_010_replay_laptop_mobile,ai_replay,false,26,0.5,0.0,,,,,,,,0.0013814055780448,0.00010374896983004896,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000076_human_010_clean,human_clean,false,18,0.5,0.05555555555555555,,,,,,,,0.8426318935683375,0.1375691046148734,,1,0.05555555555555555,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000077_human_010_fabricated,human_fabricated,true,22,0.5,0.2727272727272727,true,true,true,4,1,0.9891964109491972,0.8900499074566177,0.7865282790061312,0.08020090347854933,0.8098490039780684,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000078_human_010_mixer_processed,human_mixer,false,18,0.5,0.0,,,,,,,,0.0137870191437592,0.00279314850442028,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000079_human_010_replay_laptop_mobile,human_replay,false,14,0.5,0.07142857142857142,,,,,,,,0.8946186434885344,0.0661377842062855,,1,0.07142857142857142,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000080_ai_011_direct,ai_direct,false,19,0.5,0.10526315789473684,,,,,,,,0.9668688327057374,0.13908752998441593,,2,0.10526315789473684,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000081_ai_011_fabricated,ai_fabricated,true,22,0.5,0.13636363636363635,true,true,true,4,1,0.9785319482906324,0.6629216808011497,0.3511944535632343,0.03723285270146311,0.6256888280996865,,,,false,true
