scope,n,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,specificity,fpr,fnr,f1,threshold
dev,40,29,1,9,1,0.75,0.5333333333333333,0.7631578947368421,0.9666666666666667,0.1,0.9,0.03333333333333333,0.8529411764705882,0.05
dev,40,29,2,8,1,0.775,0.5833333333333334,0.7837837837837838,0.9666666666666667,0.2,0.8,0.03333333333333333,0.8656716417910447,0.06
dev,40,29,2,8,1,0.775,0.5833333333333334,0.7837837837837838,0.9666666666666667,0.2,0.8,0.03333333333333333,0.8656716417910447,0.07
dev,40,29,2,8,1,0.775,0.5833333333333334,0.7837837837837838,0.9666666666666667,0.2,0.8,0.03333333333333333,0.8656716417910447,0.08
dev,40,29,2,8,1,0.775,0.5833333333333334,0.7837837837837838,0.9666666666666667,0.2,0.8,0.03333333333333333,0.8656716417910447,0.09
dev,40,29,2,8,1,0.775,0.5833333333333334,0.7837837837837838,0.9666666666666667,0.2,0.8,0.03333333333333333,0.8656716417910447,0.1
dev,40,28,2,8,2,0.75,0.5666666666666667,0.7777777777777778,0.9333333333333333,0.2,0.8,0.06666666666666667,0.8484848484848485,0.11
dev,40,28,2,8,2,0.75,0.5666666666666667,0.7777777777777778,0.9333333333333333,0.2,0.8,0.06666666666666667,0.8484848484848485,0.12
dev,40,28,2,8,2,0.75,0.5666666666666667,0.7777777777777778,0.9333333333333333,0.2,0.8,0.06666666666666667,0.8484848484848485,0.13
dev,40,28,2,8,2,0.75,0.5666666666666667,0.7777777777777778,0.9333333333333333,0.2,0.8,0.06666666666666667,0.8484848484848485,0.14
dev,40,28,2,8,2,0.75,0.5666666666666667,0.7777777777777778,0.9333333333333333,0.2,0.8,0.06666666666666667,0.8484848484848485,0.15
dev,40,28,2,8,2,0.75,0.5666666666666667,0.7777777777777778,0.9333333333333333,0.2,0.8,0.06666666666666667,0.8484848484848485,0.16
dev,40,28,2,8,2,0.75,0.5666666666666667,0.7777777777777778,0.9333333333333333,0.2,0.8,0.06666666666666667,0.8484848484848485,0.17
dev,40,28,2,8,2,0.75,0.5666666666666667,0.7777777777777778,0.9333333333333333,0.2,0.8,0.06666666666666667,0.8484848484848485,0.18
dev,40,28,2,8,2,0.75,0.5666666666666667,0.7777777777777778,0.9333333333333333,0.2,0.8,0.06666666666666667,0.8484848484848485,0.19
dev,40,28,2,8,2,0.75,0.5666666666666667,0.7777777777777778,0.9333333333333333,0.2,0.8,0.06666666666666667,0.8484848484848485,0.2
dev,40,28,2,8,2,0.75,0.5666666666666667,0.7777777777777778,0.9333333333333333,0.2,0.8,0.06666666666666667,0.8484848484848485,0.21
dev,40,28,2,8,2,0.75,0.5666666666666667,0.7777777777777778,0.9333333333333333,0.2,0.8,0.06666666666666667,0.8484848484848485,0.22
dev,40,28,3,7,2,0.775,0.6166666666666667,0.8,0.9333333333333333,0.3,0.7,0.06666666666666667,0.8615384615384616,0.23
dev,40,28,3,7,2,0.775,0.6166666666666667,0.8,0.9333333333333333,0.3,0.7,0.06666666666666667,0.8615384615384616,0.24
dev,40,28,3,7,2,0.775,0.6166666666666667,0.8,0.9333333333333333,0.3,0.7,0.06666666666666667,0.8615384615384616,0.25
dev,40,28,3,7,2,0.775,0.6166666666666667,0.8,0.9333333333333333,0.3,0.7,0.06666666666666667,0.8615384615384616,0.26
dev,40,28,4,6,2,0.8,0.6666666666666667,0.8235294117647058,0.9333333333333333,0.4,0.6,0.06666666666666667,0.875,0.27
dev,40,28,4,6,2,0.8,0.6666666666666667,0.8235294117647058,0.9333333333333333,0.4,0.6,0.06666666666666667,0.875,0.28
dev,40,28,4,6,2,0.8,0.6666666666666667,0.8235294117647058,0.9333333333333333,0.4,0.6,0.06666666666666667,0.875,0.29
dev,40,28,4,6,2,0.8,0.6666666666666667,0.8235294117647058,0.9333333333333333,0.4,0.6,0.06666666666666667,0.875,0.3
dev,40,28,5,5,2,0.825,0.7166666666666667,0.8484848484848485,0.9333333333333333,0.5,0.5,0.06666666666666667,0.8888888888888888,0.31
dev,40,28,5,5,2,0.825,0.7166666666666667,0.8484848484848485,0.9333333333333333,0.5,0.5,0.06666666666666667,0.8888888888888888,0.32
dev,40,28,5,5,2,0.825,0.7166666666666667,0.8484848484848485,0.9333333333333333,0.5,0.5,0.06666666666666667,0.8888888888888888,0.33
dev,40,28,5,5,2,0.825,0.7166666666666667,0.8484848484848485,0.9333333333333333,0.5,0.5,0.06666666666666667,0.8888888888888888,0.34
dev,40,27,6,4,3,0.825,0.75,0.8709677419354839,0.9,0.6,0.4,0.1,0.8852459016393442,0.35
dev,40,27,6,4,3,0.825,0.75,0.8709677419354839,0.9,0.6,0.4,0.1,0.8852459016393442,0.36
dev,40,27,6,4,3,0.825,0.75,0.8709677419354839,0.9,0.6,0.4,0.1,0.8852459016393442,0.37
