schema_version,file_id,segment_id,audio_path,start_sec,end_sec,segment_duration_sec,feature_source,extraction_status,warning_message,rms_mean,rms_std,peak_amplitude,zero_crossing_rate_mean,clipping_ratio,silence_ratio,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,spectral_flatness_mean,spectral_contrast_mean,low_band_energy_ratio,mid_band_energy_ratio,high_band_energy_ratio,very_high_band_energy_ratio,noise_floor_proxy,snr_proxy,dynamic_range_proxy,spectral_entropy_mean,bandwidth_occupied_95,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0010,data/phase7c1/raw/ai_direct/ai_001_direct.wav,20.0,24.0,4.0,phase8c_acoustic_librosa,ok,,0.060996398,0.042569626,0.74692786,0.16369048,0,0.023809524,1973.2902,1593.9358,3407.1181,0.039757257,,0.5643483,0.29288226,0.14276943,,0.00055317569,202.11407,0.17573525,4.3459087,0.75244141,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0011,data/phase7c1/raw/ai_direct/ai_001_direct.wav,22.0,26.0,4.0,phase8c_acoustic_librosa,ok,,0.060120028,0.046089511,0.74692786,0.17063492,0,0.023809524,2004.2993,1626.8413,3596.4782,0.041241046,,0.59593041,0.27752272,0.12654686,,0.00037269358,333.2841,0.17156273,4.387162,0.74609375,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0012,data/phase7c1/raw/ai_direct/ai_001_direct.wav,24.0,28.0,4.0,phase8c_acoustic_librosa,ok,,0.067522891,0.051783741,0.74619794,0.16867792,0,0,1988.7381,1633.7264,3626.1781,0.04418607,,0.46825842,0.4427937,0.08894788,,0.0003566973,388.89121,0.21429515,4.3789416,0.66357422,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0013,data/phase7c1/raw/ai_direct/ai_001_direct.wav,26.0,30.0,4.0,phase8c_acoustic_librosa,ok,,0.065359123,0.056734629,0.74619794,0.17905971,0,0,2062.9602,1656.8575,3729.5387,0.048262595,,0.51974546,0.39406414,0.086190388,,0.00029849861,479.00613,0.21350469,4.4998293,0.65576172,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0014,data/phase7c1/raw/ai_direct/ai_001_direct.wav,28.0,32.0,4.0,phase8c_acoustic_librosa,ok,,0.067827195,0.052879259,0.75229937,0.15068902,0,0,1912.7082,1638.089,3484.871,0.043158137,,0.61696221,0.31358986,0.069447925,,0.00054929452,253.87014,0.2039028,4.3700135,0.54296875,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0015,data/phase7c1/raw/ai_direct/ai_001_direct.wav,30.0,34.0,4.0,phase8c_acoustic_librosa,ok,,0.073783807,0.057867847,0.80916166,0.10730949,0,0.047619048,1533.1986,1516.8507,2936.0739,0.022017603,,0.60353732,0.36390353,0.03255914,,0.00025989136,584.13864,0.21300599,3.9245393,0.26074219,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0016,data/phase7c1/raw/ai_direct/ai_001_direct.wav,32.0,36.0,4.0,phase8c_acoustic_librosa,ok,,0.078075707,0.065679252,0.82810849,0.10025267,0,0.055555556,1406.2272,1398.7368,2683.9658,0.018184821,,0.64862873,0.33113646,0.020234817,,0.00020244974,868.52073,0.21424152,3.9145775,0.20654297,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0017,data/phase7c1/raw/ai_direct/ai_001_direct.wav,34.0,38.0,4.0,phase8c_acoustic_librosa,ok,,0.080843039,0.061421163,0.82810849,0.1344091,0,0.015873016,1823.4884,1461.6542,3200.7068,0.036207355,,0.66440699,0.30231008,0.033282936,,0.00023723947,717.6606,0.2107401,4.2269371,0.21240234,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0018,data/phase7c1/raw/ai_direct/ai_001_direct.wav,36.0,40.0,4.0,phase8c_acoustic_librosa,ok,,0.070447601,0.057844009,0.81452668,0.14619373,0,0.0079365079,1888.8003,1522.7776,3363.6533,0.047083159,,0.64057515,0.31642743,0.042997412,,0.00030647666,502.67583,0.23264456,4.3821947,0.28710938,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0019,data/phase7c1/raw/ai_direct/ai_001_direct.wav,38.0,42.0,4.0,phase8c_acoustic_librosa,ok,,0.054239381,0.051092766,0.81452668,0.14854988,0,0.063492063,1916.2823,1608.8324,3478.9187,0.050618244,,0.56287461,0.35750936,0.079616031,,0.00021690907,537.53206,0.23165207,4.4153429,0.63330078,,,,,,,,,,,,,,,,,,,,,,,,,,
